,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,,,,
,WEEK OF: 10.5-10.9,,68.0,,68.0,,30.0,,,,,,
,Snacks,Sell
Price,10.5.17,10.5.17,10.7.15,10.7.15,10.9.15,10.9.15,END OF WEEK TOTALS,,,,
SKU,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1896.0,,,3.0,1.0,3.0,3.0,1.0,,,3.0,4.0,0.428571428571,0.571428571429
1907.0,,,3.0,0.0,3.0,0.0,2.0,,,8.0,0.0,1.0,0.0
1903.0,,,3.0,2.0,3.0,3.0,1.0,,,2.0,5.0,0.285714285714,0.714285714286
1911.0,,,3.0,2.0,3.0,0.0,2.0,,,8.0,2.0,1.0,0.25
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,12.0,5.0,12.0,6.0,6.0,0.0,,,,,
,Sandwiches,Price,10.5.17,10.5.17,10.7.15,10.7.15,10.9.15,10.9.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1799.0,,,4.0,0.0,4.0,0.0,2.0,,,10.0,0.0,1.0,0.0
1801.0,,,4.0,0.0,4.0,0.0,2.0,,,10.0,0.0,1.0,0.0
1804.0,,,4.0,0.0,4.0,0.0,2.0,,,10.0,0.0,1.0,0.0
1818.0,,,4.0,0.0,4.0,0.0,2.0,,,10.0,0.0,1.0,0.0
1791.0,,,4.0,2.0,4.0,0.0,2.0,,,8.0,2.0,0.8,0.2
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SANDWICHES,,20.0,2.0,20.0,0.0,10.0,0.0,,,,,
,Wraps,Price,10.5.17,10.5.17,10.7.15,10.7.15,10.9.15,10.9.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1839.0,,,2.0,0.0,2.0,0.0,1.0,,,5.0,0.0,1.0,0.0
1854.0,,,2.0,0.0,2.0,0.0,1.0,,,5.0,0.0,1.0,0.0
1862.0,,,2.0,0.0,2.0,0.0,1.0,,,5.0,0.0,1.0,0.0
1856.0,,,2.0,0.0,2.0,0.0,1.0,,,5.0,0.0,1.0,0.0
1826.0,,,2.0,0.0,2.0,0.0,1.0,,,5.0,0.0,1.0,0.0
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL WRAPS,,10.0,0.0,10.0,0.0,5.0,0.0,,,,,
,Salads,Price,10.5.17,10.5.17,10.7.15,10.7.15,10.9.15,10.9.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1874.0,,,4.0,2.0,4.0,0.0,1.0,,,7.0,2.0,0.777777777778,0.222222222222
1892.0,,,4.0,0.0,4.0,3.0,1.0,,,6.0,3.0,0.666666666667,0.333333333333
1884.0,,,4.0,0.0,4.0,1.0,1.0,,,8.0,1.0,0.888888888889,0.111111111111
1889.0,,,4.0,0.0,4.0,0.0,1.0,,,9.0,0.0,1.0,0.0
1753.0,,,4.0,0.0,4.0,1.0,1.0,,,8.0,1.0,0.888888888889,0.111111111111
,TOTAL SALADS,,20.0,2.0,20.0,5.0,5.0,0.0,,,,,
,Entrees,Price,10.5.17,10.5.17,10.7.15,10.7.15,10.9.15,10.9.15,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,3.0,0.0,3.0,0.0,2.0,,,8.0,0.0,1.0,0.0
1945.0,,,3.0,1.0,3.0,0.0,2.0,,,8.0,1.0,1.0,0.125
,Sweet & Sour Pork,,,,,,,,,,,,
,Tofu Stroganoff,,,,,,,,,,,,
,TOTAL ENTREES,,6.0,1.0,6.0,0.0,4.0,0.0,,,,,
,Total ITEMS WASTED,,,10.0,,11.0,,0.0,,,,,
,TOTAL ITEMS DELIVERED,,68.0,,68.0,,30.0,,,,,,
***USE NEW CMU PANTRY LAB LABELS***,,,,,,,,,,,,,
