,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,,,,
,WEEK OF: 9.28-10.2,,68.0,,68.0,,,,,,,,
,Snacks,Sell
Price,9.28.15,9.28.15,9.30.15,9.30.15,,0.0,END OF WEEK TOTALS,,,,
SKU,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,4.0,0.0,4.0,0.0,,,,8.0,0.0,1.0,0.0
1912.0,,,4.0,2.0,4.0,1.0,,,,5.0,3.0,0.625,0.375
1721.0,,,4.0,3.0,4.0,4.0,,,,1.0,7.0,0.125,0.875
1759.0,,,4.0,0.0,4.0,0.0,,,,8.0,0.0,1.0,0.0
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,16.0,5.0,16.0,5.0,0.0,0.0,,,,,
,Sandwiches,Price,9.28.15,9.28.15,9.30.15,9.30.15,0.0,0.0,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1803.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1807.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1817.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1813.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1790.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SANDWICHES,,15.0,0.0,15.0,0.0,0.0,0.0,,,,,
,Wraps,Price,9.28.15,9.28.15,9.30.15,9.30.15,0.0,0.0,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1838.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1853.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1852.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1858.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1825.0,,,3.0,3.0,3.0,0.0,,,,3.0,3.0,0.5,0.5
,,,,,,,,,,0.0,0.0,7,7
,,,,,,,,,,0.0,0.0,7,7
,TOTAL WRAPS,,15.0,3.0,15.0,0.0,0.0,0.0,,,,,
,Salads,Price,9.28.15,9.28.15,9.30.15,9.30.15,0.0,0.0,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1876.0,,,4.0,0.0,4.0,0.0,,,,8.0,0.0,1.0,0.0
1878.0,,,4.0,0.0,4.0,0.0,,,,8.0,0.0,1.0,0.0
1886.0,,,4.0,0.0,4.0,0.0,,,,8.0,0.0,1.0,0.0
1871.0,,,4.0,1.0,4.0,0.0,,,,7.0,1.0,0.875,0.125
,,,,,,,,,,0.0,0.0,7,7
,TOTAL SALADS,,16.0,1.0,16.0,0.0,0.0,0.0,,,,,
,Entrees,Price,9.28.15,9.28.15,9.30.15,9.30.15,0.0,0.0,,,,,
,,,,Waste,,Waste,,Waste,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,3.0,0.0,3.0,0.0,,,,6.0,0.0,1.0,0.0
1945.0,,,3.0,1.0,3.0,1.0,,,,4.0,2.0,0.666666666667,0.333333333333
,Chicken Fried Steak,,,,,,,,,,,,
,Salt & Pepper Tofu,,,,,,,,,,,,
,TOTAL ENTREES,,6.0,1.0,6.0,1.0,0.0,0.0,,,,,
,Total ITEMS WASTED,,,10.0,,6.0,,0.0,,,,,
,TOTAL ITEMS DELIVERED,,68.0,,68.0,,0.0,,,,,,
***USE NEW CMU PANTRY LAB LABELS***,,,,,,,,,,,,,
