,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,
,Snacks,Sell
Price,6.22.15,6.22.15,6.24.15,6.24.15,6.26.15,6.26.15,Guaranteed Price,Total Due,END OF WEEK TOTALS,,,,
SKU,Name,,,Waste,,Waste,,Waste,,,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1721.0,,,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
1911.0,,,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,,3.0,3.0,0.5,0.5
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,6.0,,6.0,,6.0,,0.0,0.0,,,,,
,Sandwiches,Price,6.22.15,6.22.15,6.24.15,6.24.15,6.26.15,6.26.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1803.0,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
1807.0,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
1811.0,,,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1790.0,,,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SANDWICHES,,8.0,,8.0,,8.0,,0.0,0.0,,,,,
,Wraps,Price,6.22.15,6.22.15,6.24.15,6.24.15,6.26.15,6.26.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1840.0,,,2.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,,3.0,3.0,0.5,0.5
1857.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,1.0,0.666666666667,0.333333333333
1863.0,,,2.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
1827.0,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,2.0,1.0,0.666666666667,0.333333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL WRAPS,,6.0,,6.0,,6.0,,0.0,0.0,,,,,
,Salads,Price,6.22.15,6.22.15,6.24.15,6.24.15,6.26.15,6.26.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1880.0,,,2.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,,3.0,3.0,0.5,0.5
1882.0,,,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1894.0,,,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SALADS,,6.0,,6.0,,6.0,,0.0,0.0,,,,,
,Entrees,Price,6.22.15,6.22.15,6.24.15,6.24.15,6.26.15,6.26.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1945.0,,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL ENTREES,,4.0,,4.0,,4.0,,0.0,0.0,,,,,
,Picadillo Beef Enchaladas,,,,,,,,,,,,,,
,Picadillo Black Bean Enchaladas,,,,,,,,,,,,,,
,Total ITEMS WASTED,,,0.0,,0.0,,0.0,,,,,,,
,TOTAL ITEMS DELIVERED,,30.0,,30.0,,30.0,,,,,,,,
