,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,
,Snacks,Sell
Price,7.20.15,7.20.15,7.22.15,7.22.15,7.24.15,7.24.15,Guaranteed Price,Total Due,END OF WEEK TOTALS,,,,
SKU,Name,,,Waste,,Waste,,Waste,,,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,6.0,0.0,1.0,0.0
1759.0,,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1904.0,,,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,,3.0,3.0,0.5,0.5
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,6.0,,6.0,,6.0,,0.0,0.0,,,,,
,Sandwiches,Price,7.20.15,7.20.15,7.22.15,7.22.15,7.24.15,7.24.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1798.0,,,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1814.0,,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,6.0,0.0,1.0,0.0
1817.0,,,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1794.0,,,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,2.0,1.0,0.666666666667,0.333333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SANDWICHES,,7.0,1.0,7.0,,7.0,,0.0,0.0,,,,,
,Wraps,Price,7.20.15,7.20.15,7.22.15,7.22.15,7.24.15,7.24.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1847.0,,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,,6.0,0.0,1.0,0.0
1843.0,,,2.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,,3.0,3.0,0.5,0.5
1830.0,,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL WRAPS,,5.0,,5.0,,5.0,,0.0,0.0,,,,,
,Salads,Price,7.20.15,7.20.15,7.22.15,7.22.15,7.24.15,7.24.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1873.0,,,2.0,1.0,2.0,0.0,2.0,1.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1879.0,,,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1881.0,,,2.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,,5.0,1.0,0.833333333333,0.166666666667
1868.0,,,2.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,,2.0,4.0,0.333333333333,0.666666666667
,,,,,,,0.0,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SALADS,,8.0,,8.0,,8.0,,0.0,0.0,,,,,
,Entrees,Price,7.20.15,7.20.15,7.22.15,7.22.15,7.24.15,7.24.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
1945.0,,,2.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,,1.0,5.0,0.166666666667,0.833333333333
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL ENTREES,,4.0,,4.0,,4.0,,0.0,0.0,,,,,
,Ragu Alla Bolognase,,,,,,,,,,,,,,
,Wild Mushroom Tagliatelle,,,,,,,,,,,,,,
,Total ITEMS WASTED,,,1.0,,0.0,,0.0,,,,,,,
,TOTAL ITEMS DELIVERED,,30.0,,30.0,,30.0,,,,,,,,
