,Carnagie Melon University Order Guide/ Waste Sheet,,,,,,,,,0.0,,,,,
,,,,,,,,,,,,,,,
,Snacks,Sell
Price,0.0,0.0,4.1.15,4.1.15,4.3.15,4.3.15,Guaranteed Price,Total Due,END OF WEEK TOTALS,,,,
SKU,Name,,,Waste,,Waste,,Waste,,,NAME,SOLD,WASTE,SELL %,WASTE %
1910.0,,,,,5.0,0.0,3.0,0.0,0.0,0.0,,8.0,0.0,1.0,0.0
1720.0,,,,,5.0,0.0,3.0,0.0,0.0,0.0,,8.0,0.0,1.0,0.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SNACK ITEMS,,0.0,,10.0,,6.0,,0.0,0.0,,,,,
,Sandwiches,Price,0.0,0.0,4.1.15,4.1.15,4.3.15,4.3.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1800.0,,,,,3.0,1.0,2.0,0.0,0.0,0.0,,4.0,1.0,0.8,0.2
1802.0,,,,,4.0,0.0,3.0,2.0,0.0,0.0,,5.0,2.0,0.714285714286,0.285714285714
1809.0,,,,,3.0,0.0,2.0,0.0,0.0,0.0,,5.0,0.0,1.0,0.0
1805.0,,,,,3.0,3.0,2.0,2.0,0.0,0.0,,0.0,5.0,0.0,1.0
1796.0,,,,,3.0,2.0,2.0,1.0,0.0,0.0,,2.0,3.0,0.4,0.6
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SANDWICHES,,0.0,,16.0,,11.0,,0.0,0.0,,,,,
,Wraps,Price,0.0,0.0,4.1.15,4.1.15,4.3.15,4.3.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1765.0,,,,,3.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.0,1.0,0.0
1840.0,,,,,3.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.0,1.0,0.0
1844.0,,,,,3.0,1.0,1.0,0.0,0.0,0.0,,3.0,1.0,0.75,0.25
1852.0,,,,,4.0,3.0,2.0,0.0,0.0,0.0,,3.0,3.0,0.5,0.5
1839.0,,,,,3.0,0.0,1.0,0.0,0.0,0.0,,4.0,0.0,1.0,0.0
1824.0,,,,,3.0,3.0,1.0,1.0,0.0,0.0,,0.0,4.0,0.0,1.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL WRAPS,,0.0,,19.0,,7.0,,0.0,0.0,,,,,
,Salads,Price,0.0,0.0,4.1.15,4.1.15,4.3.15,4.3.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1894.0,,,,,3.0,3.0,1.0,0.0,0.0,0.0,,1.0,3.0,0.25,0.75
1890.0,,,,,3.0,3.0,1.0,0.0,0.0,0.0,,1.0,3.0,0.25,0.75
1878.0,,,,,4.0,2.0,2.0,0.0,0.0,0.0,,4.0,2.0,0.666666666667,0.333333333333
1872.0,,,,,3.0,3.0,1.0,1.0,0.0,0.0,,0.0,4.0,0.0,1.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,TOTAL SALADS,,0.0,,13.0,,5.0,,0.0,0.0,,,,,
,Entrees,Price,0.0,0.0,4.1.15,4.1.15,4.3.15,4.3.15,0.0,,,,,,
,Name,,,Waste,,Waste,,Waste,0.0,,NAME,SOLD,WASTE,SELL %,WASTE %
1943.0,,,,,2.0,0.0,1.0,0.0,0.0,0.0,,3.0,0.0,1.0,0.0
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,,,,,,,,,0.0,0.0,,0.0,0.0,7,7
,Encoding error!,,,,,,,,,,,,,,
,TOTAL ENTREES,,0.0,,2.0,,1.0,,0.0,0.0,,,,,
,Total ITEMS WASTED,,,0.0,,0.0,,0.0,,,,,,,
,TOTAL ITEMS DELIVERED,,0.0,,60.0,,30.0,,,,,,,,
