Product,UID,QTY,Category,Price,Total,Cost," ""Credit Card""",Date,Kiosk
"Roasted Pear, Pecan & Cranberry Salad",61620,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 14:55,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,61620,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/2/2015 14:55,CMU-1
Grilled Mediterranean Veggie Hummus Sandwich,374178,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 14:21,CMU-1
Day After Thanksgiving Turkey Sandwich,382557,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 14:20,CMU-1
Classic BLT,106133,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 14:04,CMU-1
Cosmo Entree 1,70901,1,entree,$7.99 ,$7.99 ,$0.00 ,Y,9/2/2015 13:26,CMU-1
Alpino Wrap,380022,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 13:25,CMU-1
Tuscan Grilled Chicken Sandwich,366588,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 13:24,CMU-1
Grilled Summer Vegetable Wrap,374178,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/2/2015 13:04,CMU-1
Grilled Mediterranean Veggie Hummus Sandwich,381422,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 12:43,CMU-1
Roast Beef Wrap,108748,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 12:42,CMU-1
Grilled Tandoori Chicken Wrap,309610,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 12:40,CMU-1
Teriyaki Chicken Wrap,106352,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 12:39,CMU-1
Salad Niciose,101644,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 12:28,CMU-1
Grilled Teriyaki Chicken Chopped Salad,54519,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 12:27,CMU-1
Teriyaki Chicken Wrap,131468,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 11:31,CMU-1
Grilled Summer Vegetable Wrap,380444,1,null,$5.49 ,$5.49 ,$0.00 ,Y,9/2/2015 11:27,CMU-1
Alpino Wrap,380424,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/2/2015 11:20,CMU-1
Day After Thanksgiving Turkey Sandwich,380418,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 11:18,CMU-1
Today's Vegetarian Lunch Entrée,380396,1,null,$7.49 ,$7.49 ,$0.00 ,Y,9/2/2015 11:16,CMU-1
Tuscan Grilled Chicken Sandwich,57625,1,null,$6.50 ,$6.50 ,$0.00 ,Y,9/2/2015 11:09,CMU-1
Grilled Tandoori Chicken Wrap,357108,1,null,$5.75 ,$5.75 ,$0.00 ,Y,9/2/2015 9:42,CMU-1
Salad Niciose,357108,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/2/2015 9:42,CMU-1
Crudité Cup,377875,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/1/2015 13:34,CMU-1
"Roasted Pear, Pecan & Cranberry Salad",376657,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/1/2015 11:58,CMU-1
Breakfast Berry & Yogurt Parfait w/ Granola,376657,1,null,$4.49 ,$4.49 ,$0.00 ,Y,9/1/2015 11:58,CMU-1
Alpino Wrap,372435,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/1/2015 11:45,CMU-1
Italian Anti-Pasta Salad,203222,1,null,$6.49 ,$6.49 ,$0.00 ,Y,9/1/2015 11:43,CMU-1
Alpino Wrap,376416,1,null,$5.99 ,$5.99 ,$0.00 ,Y,9/1/2015 11:41,CMU-1
Today's Vegetarian Lunch Entrée,119449,1,null,$7.49 ,$7.49 ,$0.00 ,Y,9/1/2015 11:21,CMU-1
Cosmo Entree 1,108748,1,entree,$7.99 ,$7.99 ,$0.00 ,Y,9/1/2015 11:06,CMU-1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
