1910,6,0,100.0,0.0
1906,2,1,66.6666666667,33.3333333333
1759,2,4,33.3333333333,66.6666666667
1800,1,5,16.6666666667,83.3333333333
1802,2,4,33.3333333333,66.6666666667
1810,5,1,83.3333333333,16.6666666667
1794,0,6,0.0,100.0
1836,1,5,16.6666666667,83.3333333333
1850,3,3,50.0,50.0
1851,2,4,33.3333333333,66.6666666667
1824,0,3,0.0,100.0
1875,2,4,33.3333333333,66.6666666667
1877,5,1,83.3333333333,16.6666666667
1887,4,2,66.6666666667,33.3333333333
1872,2,1,66.6666666667,33.3333333333
1943,3,1,75.0,25.0
