1910,14,0,100.0,0.0
1903,5,7,41.6666666667,58.3333333333
1906,5,7,41.6666666667,58.3333333333
1904,2,10,16.6666666667,83.3333333333
1809,4,0,100.0,0.0
1812,3,3,50.0,50.0
1805,4,2,66.6666666667,33.3333333333
1817,4,0,100.0,0.0
1793,9,1,90.0,10.0
1840,7,0,100.0,0.0
1851,5,0,100.0,0.0
1848,4,3,57.1428571429,42.8571428571
1842,5,0,100.0,0.0
1825,4,2,66.6666666667,33.3333333333
1759,5,0,100.0,0.0
1753,3,2,60.0,40.0
1876,3,3,50.0,50.0
1890,4,0,100.0,0.0
1875,4,0,100.0,0.0
1887,5,1,83.3333333333,16.6666666667
1943,8,0,100.0,0.0
